Wavelength,Bel-fruit00000.asd,Bel-fruit00001.asd,Bel-fruit00002.asd,Bel-fruit00003.asd,Bel-fruit00004.asd,Bel-fruit00005.asd,Bel-fruit00006.asd,Bel-fruit00007.asd,Bel-fruit00008.asd,Bel-fruit00009.asd
501,0.2931025,0.294389731,0.294188953,0.294208176,0.293656486,0.294616144,0.294010473,0.294133407,0.294058334,0.293415498
502,0.296666533,0.296683768,0.296726727,0.296958752,0.296390169,0.29632994,0.29630042,0.296612789,0.296755153,0.29615364
503,0.299677554,0.299017595,0.299077526,0.299685035,0.298727688,0.298529011,0.299196931,0.299725285,0.299585346,0.298977961
504,0.301898167,0.30169377,0.301544861,0.302209479,0.30102806,0.301486442,0.302363983,0.302912403,0.302293712,0.301608335
505,0.304588233,0.30458268,0.304613626,0.304531579,0.304214503,0.304420397,0.304776813,0.304807474,0.304610263,0.304007801
506,0.307280082,0.307260222,0.307387557,0.307262566,0.307131906,0.306756512,0.307476575,0.307436708,0.307429112,0.306654712
507,0.310339959,0.309939054,0.310187383,0.31012855,0.309753465,0.309606374,0.310249053,0.310308176,0.310332268,0.309825036
508,0.313781225,0.312840359,0.313272262,0.312979127,0.312449831,0.313326639,0.312964891,0.312944278,0.313056076,0.313364241
509,0.316548917,0.315966179,0.316368505,0.316289194,0.316141785,0.3159733,0.316155506,0.315709924,0.316138338,0.316221388
510,0.319684626,0.319378563,0.319269736,0.319681846,0.319698275,0.318803364,0.319222525,0.319273698,0.3194864,0.319465073
511,0.322875884,0.322703509,0.322189872,0.322949137,0.322837941,0.322084674,0.322240473,0.323064079,0.322695304,0.322850601
512,0.32546546,0.325568163,0.325504606,0.32602067,0.325721401,0.32559804,0.325516224,0.326132822,0.325391491,0.325741034
513,0.328772154,0.329002823,0.329147304,0.329188504,0.32862229,0.328687522,0.328645183,0.32927456,0.328505307,0.329041358
514,0.331966521,0.332486542,0.332481742,0.332153115,0.331668264,0.331641776,0.331714002,0.33226363,0.331562597,0.331971911
515,0.334812984,0.335626123,0.335288711,0.335004304,0.334800286,0.334722438,0.334851395,0.335078124,0.334535157,0.334557552
516,0.338250249,0.338406646,0.337997183,0.338517063,0.337707649,0.338026295,0.338186074,0.338123589,0.338290936,0.338262477
517,0.341771331,0.34165707,0.341210041,0.341698915,0.341157516,0.341346149,0.341810317,0.34145487,0.341559579,0.341581395
518,0.344933582,0.344989065,0.344394366,0.344509918,0.344456476,0.344570745,0.345014685,0.344877882,0.344508081,0.344408122
519,0.347531047,0.347854971,0.346993985,0.347285146,0.34690352,0.347640101,0.34731558,0.348044218,0.347615949,0.347089141
520,0.350360824,0.350976237,0.350204108,0.350716764,0.349925461,0.350647903,0.350426328,0.350333104,0.350680739,0.349972604
521,0.353482005,0.353792918,0.353452708,0.353833375,0.353229966,0.353492742,0.353614207,0.3530869,0.353593699,0.352973704
522,0.35668665,0.356287101,0.356423122,0.356452213,0.356413514,0.356087279,0.356402654,0.356405412,0.356423959,0.356016875
523,0.359568164,0.359023719,0.359151412,0.359237824,0.359079472,0.358399466,0.358714906,0.359138232,0.359410478,0.359066114
524,0.362226974,0.362070883,0.362088889,0.362199655,0.361719726,0.36138497,0.361441464,0.362062291,0.362101508,0.361756003
525,0.364713413,0.364855014,0.364664337,0.364761132,0.364409193,0.364134811,0.364202108,0.364640295,0.36449308,0.364173546
526,0.367011348,0.366978117,0.366537243,0.36668164,0.367016402,0.366019858,0.366552866,0.366536691,0.366722466,0.366499793
527,0.368844626,0.368959271,0.368735134,0.36917831,0.369102726,0.36857397,0.368739042,0.36884384,0.369047251,0.368868904
528,0.370897739,0.371063298,0.370801767,0.371251787,0.370786359,0.370774165,0.370955944,0.370943027,0.371047524,0.371008465
529,0.373006935,0.373157412,0.372826957,0.372998008,0.37235131,0.372513767,0.373176142,0.372830045,0.372865443,0.372984551
530,0.374548753,0.374902752,0.375161074,0.37514127,0.374172328,0.374294558,0.375210139,0.374864476,0.374949929,0.375041695
